Feature,Importance
diet_quality_Healthy,3.6449419170853807
physical_activity_Moderate,3.320728506291025
physical_activity_Sedentary,3.30424981981106
physical_activity_Active,3.233394639411605
alcohol_use_Heavy,3.1540537644875437
alcohol_use_Light,3.1410069982256066
alcohol_use_Sober,3.090941971366901
diet_quality_Average,3.0535938428545526
alcohol_use_Moderate,2.9755937845108225
smoking_status_Current,2.6732628247703265
diet_quality_Poor,2.42015588052121
smoking_status_Never,2.190147884721806
smoking_status_Former,2.1871434936087244
GENDER_M,1.4541406008292537
GENDER_F,1.28370059769555
BMI,1.1022611629353711
AGE,1.0263606111698969
Body Height,0.10639637563902767
Body Weight,0.10174804933938213
sleep_hours,0.06089145399636774
pollution,0.03602550692570069
radon_level,0.028487676207831325
Total Cholesterol,0.015308899673956626
Respiratory rate,0.011150001704652704
Diastolic Blood Pressure,0.005595559346180146
Heart rate,0.001992280253610544
Systolic Blood Pressure,0.0005962515984810742
