Feature,Importance
AGE,1.044555910004651
diet_quality_Poor,1.0014095197115025
diet_quality_Average,0.9189596866848417
alcohol_use_Light,0.856727454991907
physical_activity_Moderate,0.8559558814324144
alcohol_use_Sober,0.8523230148728748
physical_activity_Active,0.8307917163050031
physical_activity_Sedentary,0.8025541672392449
smoking_status_Never,0.76138940917011
smoking_status_Former,0.7406680843966384
diet_quality_Healthy,0.6863351014408872
alcohol_use_Moderate,0.573567896574311
GENDER_M,0.5289185364786237
alcohol_use_Heavy,0.4410144790739611
GENDER_F,0.25706491724021446
BMI,0.18125169559617993
Body Height,0.060297282685702634
Body Weight,0.058887110129094956
Respiratory rate,0.04509311876815123
Total Cholesterol,0.037675059964166285
Diastolic Blood Pressure,0.033561452951671664
sleep_hours,0.023137212210890296
pollution,0.011136666748448173
smoking_status_Current,0.006952299487582576
radon_level,0.006892441312835401
Heart rate,0.003732145235409584
Systolic Blood Pressure,0.0026159398271356025
