Feature,Importance
AGE,0.23348933664546478
BMI,0.09744672997156022
Total Cholesterol,0.09547668798695988
alcohol_use_Light,0.061567843837749006
radon_level,0.061485926796744875
diet_quality_Average,0.044924998770753406
smoking_status_Never,0.04402773484620979
pollution,0.039535274776048464
physical_activity_Moderate,0.033121796980201144
diet_quality_Healthy,0.0324923474964164
Respiratory rate,0.0315457850618211
Systolic Blood Pressure,0.025132243458689703
Body Weight,0.025099829774474697
Diastolic Blood Pressure,0.022084445652944377
alcohol_use_Sober,0.021468818633665416
diet_quality_Poor,0.020390915634061202
smoking_status_Former,0.016779710738893207
Heart rate,0.015971650093260868
physical_activity_Active,0.01496530372721911
Body Height,0.01341203707746215
sleep_hours,0.013174163021820133
physical_activity_Sedentary,0.011616841753052309
GENDER_M,0.011134627878830418
GENDER_F,0.007484416815262115
alcohol_use_Moderate,0.004190890477589433
alcohol_use_Heavy,0.00155818262064222
smoking_status_Current,0.00042145947220351956
