Feature,Importance
smoking_status_Former,0.33275575144636527
AGE,0.10183316291192844
radon_level,0.058184547593829725
alcohol_use_Light,0.056554993577129745
pollution,0.052731423103846625
diet_quality_Poor,0.04363544425432128
Respiratory rate,0.038137358108704285
diet_quality_Average,0.03789812849874492
physical_activity_Moderate,0.037505118554828396
alcohol_use_Sober,0.02999539870709958
smoking_status_Never,0.02947066557201022
physical_activity_Sedentary,0.02768377496679476
physical_activity_Active,0.021391227874532338
diet_quality_Healthy,0.016509127489871368
Heart rate,0.015333283849888357
BMI,0.014593186622698246
Body Weight,0.013116989954976697
alcohol_use_Moderate,0.01296434462549762
Diastolic Blood Pressure,0.01243230492149185
Systolic Blood Pressure,0.01140853116399623
Body Height,0.009883539501904057
Total Cholesterol,0.00890253727407099
sleep_hours,0.0065721393951155
GENDER_M,0.004866608332020244
GENDER_F,0.004091809079018359
alcohol_use_Heavy,0.0015486026193149327
smoking_status_Current,0.0
