Feature,Importance
AGE,0.36313967177026846
BMI,0.16207869105196632
Total Cholesterol,0.09715239173394609
diet_quality_Healthy,0.08057615273450655
Body Weight,0.06599338664737882
diet_quality_Poor,0.045494477458196424
diet_quality_Average,0.025866060182948864
Body Height,0.02522315993156188
Diastolic Blood Pressure,0.021941058419861815
sleep_hours,0.019230076113472522
Systolic Blood Pressure,0.015277061396225207
smoking_status_Never,0.011565871636256277
Heart rate,0.011506484345029457
pollution,0.009211925487536897
smoking_status_Former,0.007837024517954701
Respiratory rate,0.006258757968485753
radon_level,0.004850728962517758
alcohol_use_Light,0.004400105941240056
physical_activity_Moderate,0.0041632177375849665
alcohol_use_Moderate,0.0037270583106987923
GENDER_M,0.0032950243375216414
alcohol_use_Sober,0.002998482443728277
physical_activity_Active,0.0026974655202254643
GENDER_F,0.002597543089792582
physical_activity_Sedentary,0.0023642799452193207
alcohol_use_Heavy,0.0005003190310091978
smoking_status_Current,5.3523284865744914e-05
