Feature,Importance
AGE,0.37930919950250264
physical_activity_Moderate,0.05708744539690308
radon_level,0.050345135786214044
alcohol_use_Sober,0.046538707721432516
Diastolic Blood Pressure,0.04582081340070008
smoking_status_Former,0.040339550537902
smoking_status_Never,0.03658376049879415
GENDER_M,0.034745413537054425
alcohol_use_Light,0.028471793953851833
pollution,0.027762650630371036
physical_activity_Sedentary,0.02663391538435732
diet_quality_Average,0.02653832131816755
Systolic Blood Pressure,0.026160635441970847
BMI,0.0257831601097713
diet_quality_Poor,0.025554258289728158
sleep_hours,0.020593216517498805
Total Cholesterol,0.019119280096035286
Respiratory rate,0.013752124504547283
physical_activity_Active,0.013084200136137212
Body Weight,0.012358602341005798
diet_quality_Healthy,0.0102924435409402
Body Height,0.009683227796651163
GENDER_F,0.00934672190958009
Heart rate,0.00633666103282597
alcohol_use_Moderate,0.0060970848102629
alcohol_use_Heavy,0.0016616758047944178
smoking_status_Current,0.0
