Feature,Importance
AGE,0.404668638914054
BMI,0.12751253467180923
Diastolic Blood Pressure,0.12430964298830238
diet_quality_Poor,0.057621855614893296
smoking_status_Former,0.03624603695082214
Body Weight,0.03372369788089033
Total Cholesterol,0.028919868294296207
alcohol_use_Sober,0.025463786055510987
physical_activity_Moderate,0.02123885477089584
smoking_status_Never,0.02071889136217582
alcohol_use_Light,0.02046016532724138
diet_quality_Average,0.020362721487266942
radon_level,0.01687732105039701
sleep_hours,0.010298734239015459
Respiratory rate,0.009699112022784348
diet_quality_Healthy,0.00806876530828586
physical_activity_Active,0.006827511443329777
physical_activity_Sedentary,0.006237439561926317
GENDER_M,0.006126471039962254
pollution,0.004260387328124867
Systolic Blood Pressure,0.004044614601351288
Body Height,0.0021095182512702124
alcohol_use_Moderate,0.001685994836128592
GENDER_F,0.0011763338284175506
Heart rate,0.0008291317177782097
alcohol_use_Heavy,0.0005119704530697473
smoking_status_Current,0.0
