Feature,Importance
smoking_status_Former,0.28984942568353467
AGE,0.19582823958236792
physical_activity_Moderate,0.08694426636198925
radon_level,0.055703060792810746
smoking_status_Never,0.04461895556154361
Respiratory rate,0.041268068640809695
pollution,0.036764052123086664
BMI,0.028228058839346357
GENDER_M,0.021300945256663633
diet_quality_Poor,0.019892311538051294
sleep_hours,0.019517455082401956
Body Weight,0.017027398714699236
Systolic Blood Pressure,0.014904882001530506
Heart rate,0.01409367934573275
alcohol_use_Sober,0.013939688282601349
alcohol_use_Light,0.013299299726161458
Body Height,0.012866686317269716
Diastolic Blood Pressure,0.012641880442843954
alcohol_use_Moderate,0.012395103328725624
diet_quality_Average,0.01053895629498271
diet_quality_Healthy,0.0087274872654226
physical_activity_Sedentary,0.008373804017744048
Total Cholesterol,0.007475915144034792
physical_activity_Active,0.00631860144188437
alcohol_use_Heavy,0.0043989684732451025
GENDER_F,0.0030778237304775707
smoking_status_Current,4.986010038376476e-06
