Feature,Importance
AGE,0.11760160523472313
radon_level,0.09246208754736596
diet_quality_Average,0.08267360520742352
smoking_status_Never,0.06911369170379525
diet_quality_Poor,0.06130193178198232
pollution,0.057491043061572204
Respiratory rate,0.049465659708201146
Systolic Blood Pressure,0.04483367239152985
BMI,0.04119175959017119
smoking_status_Former,0.04081357969147996
alcohol_use_Light,0.04059874982067647
alcohol_use_Sober,0.03772365850790132
physical_activity_Sedentary,0.032826972128408106
Body Height,0.02765561923640279
Heart rate,0.027100496522718846
alcohol_use_Moderate,0.0270318232883915
Body Weight,0.02701231360008603
Diastolic Blood Pressure,0.02664276297304453
physical_activity_Moderate,0.024875808515109364
Total Cholesterol,0.018343218320317947
sleep_hours,0.014450720024067776
physical_activity_Active,0.012155381569316804
diet_quality_Healthy,0.011528320353897462
GENDER_F,0.007835701431217812
GENDER_M,0.006113825289161641
alcohol_use_Heavy,0.0011559925010370925
smoking_status_Current,0.0
