Feature,Importance
AGE,0.4305737
BMI,0.17899363
diet_quality_Healthy,0.102067426
diet_quality_Average,0.08254767
Body Weight,0.07497493
diet_quality_Poor,0.04910256
Total Cholesterol,0.038378634
Body Height,0.021876194
GENDER_M,0.006756622
sleep_hours,0.0047168876
Heart rate,0.0036612717
Diastolic Blood Pressure,0.0029518781
Systolic Blood Pressure,0.0016777063
pollution,0.0015543079
Respiratory rate,0.0001666103
radon_level,0.0
smoking_status_Former,0.0
GENDER_F,0.0
smoking_status_Current,0.0
alcohol_use_Light,0.0
alcohol_use_Heavy,0.0
smoking_status_Never,0.0
alcohol_use_Moderate,0.0
physical_activity_Moderate,0.0
physical_activity_Active,0.0
alcohol_use_Sober,0.0
physical_activity_Sedentary,0.0
