Model,Disease,Accuracy,Recall,Precision,F1 Score,File
Logistic Regression,Diabetes,0.6917391304347826,0.6290849673202614,0.751219512195122,0.6847487772343264,saved_models/lr_diabetes_model.pkl
Logistic Regression,Heart Disease,0.9260869565217392,0.0118343195266272,0.4,0.0229885057471264,saved_models/lr_heart_disease_model.pkl
Logistic Regression,Stroke,0.9908695652173912,0.0,0.0,0.0,saved_models/lr_stroke_model.pkl
Logistic Regression,Hypertension,0.7247826086956521,0.3268072289156626,0.5384615384615384,0.4067478912839737,saved_models/lr_hypertension_model.pkl
Logistic Regression,Asthma,0.9865217391304348,0.0,0.0,0.0,saved_models/lr_asthma_model.pkl
Logistic Regression,COPD,0.9843478260869564,0.0,0.0,0.0,saved_models/lr_copd_model.pkl
Logistic Regression,Lung Cancer,0.987391304347826,0.0,0.0,0.0,saved_models/lr_lung_cancer_model.pkl
Random Forest,Diabetes,0.7273913043478261,0.7892156862745098,0.7235955056179775,0.7549824150058617,saved_models/rf_diabetes_model.pkl
Random Forest,Heart Disease,0.8895652173913043,0.2544378698224852,0.2514619883040935,0.2529411764705882,saved_models/rf_heart_disease_model.pkl
Random Forest,Stroke,0.9895652173913044,0.0,0.0,0.0,saved_models/rf_stroke_model.pkl
Random Forest,Hypertension,0.691304347826087,0.75,0.4779270633397313,0.5838218053927315,saved_models/rf_hypertension_model.pkl
Random Forest,Asthma,0.9617391304347828,0.2333333333333333,0.0972222222222222,0.1372549019607843,saved_models/rf_asthma_model.pkl
Random Forest,COPD,0.9504347826086956,0.1944444444444444,0.0760869565217391,0.109375,saved_models/rf_copd_model.pkl
Random Forest,Lung Cancer,0.971304347826087,0.3,0.1034482758620689,0.1538461538461538,saved_models/rf_lung_cancer_model.pkl
XGBoost,Diabetes,0.6834782608695652,0.5759803921568627,0.7713347921225383,0.6594948550046773,saved_models/xgb_diabetes_model.pkl
XGBoost,Heart Disease,0.93,0.0532544378698224,0.9,0.1005586592178771,saved_models/xgb_heart_disease_model.pkl
XGBoost,Stroke,0.9939130434782608,0.0,0.0,0.0,saved_models/xgb_stroke_model.pkl
XGBoost,Hypertension,0.758695652173913,0.2876506024096386,0.6996336996336996,0.407684098185699,saved_models/xgb_hypertension_model.pkl
XGBoost,Asthma,0.9865217391304348,0.0,0.0,0.0,saved_models/xgb_asthma_model.pkl
XGBoost,COPD,0.9839130434782608,0.0,0.0,0.0,saved_models/xgb_copd_model.pkl
XGBoost,Lung Cancer,0.991304347826087,0.0,0.0,0.0,saved_models/xgb_lung_cancer_model.pkl
